AC	ID	Organism	OrganismId	#Localizations_exp	#Localizations_nonExp	Localization
Q971T6	ALBA2_SULTO	Sulfolobus tokodaii                     	273063	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
A8A8V6	ALBA_IGNH4 	Ignicoccus hospitalis                   	453591	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q57665	ALBA_METJA 	Methanocaldococcus jannaschii           	243232	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
A3CVI3	ALBA_METMJ 	Methanoculleus marisnigri               	368407	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
P60850	ALBA_METMP 	Methanococcus maripaludis               	267377	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
B8GDF2	ALBA_METPE 	Methanosphaerula palustris              	521011	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
A4YHK0	ALBA_METS5 	Metallosphaera sedula                   	399549	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q2NHL8	ALBA_METST 	Methanosphaera stadtmanae               	339860	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
O27527	ALBA_METTH 	Methanothermobacter thermautotrophicus  	187420	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
A0B9P8	ALBA_METTP 	Methanosaeta thermophila                	349307	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
P60851	ALBA_NANEQ 	Nanoarchaeum equitans                   	228908	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
A9A323	ALBA_NITMS 	Nitrosopumilus maritimus                	436308	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q6KZR7	ALBA_PICTO 	Picrophilus torridus                    	263820	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q9V1N3	ALBA_PYRAB 	Pyrococcus abyssi                       	272844	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q8ZVL3	ALBA_PYRAE 	Pyrobaculum aerophilum                  	178306	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
A3MUQ5	ALBA_PYRCJ 	Pyrobaculum calidifontis                	410359	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q8TZV1	ALBA_PYRFU 	Pyrococcus furiosus                     	186497	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
O74101	ALBA_PYRHO 	Pyrococcus horikoshii                   	70601	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
A1RSV1	ALBA_PYRIL 	Pyrobaculum islandicum                  	384616	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
B1Y992	ALBA_PYRNV 	Pyrobaculum neutrophilum                	444157	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q4J973	ALBA_SULAC 	Sulfolobus acidocaldarius               	330779	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q9HJQ5	ALBA_THEAC 	Thermoplasma acidophilum                	273075	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q5JF39	ALBA_THEKO 	Thermococcus kodakaraensis              	69014	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
B6YWF5	ALBA_THEON 	Thermococcus onnurineus                 	523850	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q979S5	ALBA_THEVO 	Thermoplasma volcanium                  	273116	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q0W252	ALBA_UNCMA 	Uncultured methanogenic archaeon RC-I.  	351160	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q9YG90	ALF1_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (Probable).
Q9V2I6	ALF1_PYRAB 	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (Probable).
P58314	ALF1_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (Probable).
O57840	ALF1_PYRHO 	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (Probable).
Q8J308	ALF1_THEKO 	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (Probable).
P58315	ALF1_THETK 	Thermoproteus tenax                     	768679	0	1	Cytoplasm (Probable).
Q9Y935	AMPA_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
A0RUA5	AMPA_CENSY 	Cenarchaeum symbiosum                   	414004	0	1	Cytoplasm (By similarity).
D4GSY7	ANTRA_HALVD	Haloferax volcanii                      	309800	0	1	Cell membrane; Peripheral membrane protein (By similarity).
D4GSY8	ANTRP_HALVD	Haloferax volcanii                      	309800	0	1	Cell membrane; Multi-pass membrane protein (Potential).
Q9YDX6	AOX1_AERPE 	Aeropyrum pernix                        	272557	1	0	Cell membrane; Multi-pass membrane protein.
Q9YDX7	AOX2_AERPE 	Aeropyrum pernix                        	272557	0	1	Cell membrane; Multi-pass membrane protein (Potential).
Q9YDX4	AOX4_AERPE 	Aeropyrum pernix                        	272557	0	1	Cell membrane; Multi-pass membrane protein (Potential).
Q97VF1	APE1_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (Probable).
Q96ZT9	APE1_SULTO 	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (Probable).
P95928	APE2_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (Probable).
Q974N6	APE2_SULTO 	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (Probable).
Q9YBQ2	APEH_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
A0RVQ8	APT_CENSY  	Cenarchaeum symbiosum                   	414004	0	1	Cytoplasm (By similarity).
A4FYD7	APT_METM5  	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A6VJW6	APT_METM7  	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q6LZG8	APT_METMP  	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
A6USF2	APT_METVS  	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
A9A3N4	APT_NITMS  	Nitrosopumilus maritimus                	436308	0	1	Cytoplasm (By similarity).
O28846	AQPM_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
O26206	AQPM_METTH 	Methanothermobacter thermautotrophicus  	187420	1	0	Cell membrane; Multi-pass membrane protein.
Q9C4Z5	AQPM_METTM 	Methanothermobacter marburgensis        	79929	1	0	Cell membrane; Multi-pass membrane protein.
Q48295	ARCC_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (Potential).
Q9HII9	ARCC_THEAC 	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (Potential).
Q97C45	ARCC_THEVO 	Thermoplasma volcanium                  	273116	0	1	Cytoplasm (Potential).
B0R9X2	ARCD_HALS3 	Halobacterium salinarum                 	478009	1	0	Cell membrane; Multi-pass membrane protein.
Q9HHN1	ARCD_HALSA 	Halobacterium salinarum                 	64091	0	1	Cell membrane; Multi-pass membrane protein (By similarity).
Q58428	ARCS_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q9YBY9	ARGB_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
O28988	ARGB_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
A8M8Q8	ARGB_CALMQ 	Caldivirga maquilingensis               	397948	0	1	Cytoplasm (By similarity).
A0RWW1	ARGB_CENSY 	Cenarchaeum symbiosum                   	414004	0	1	Cytoplasm (By similarity).
A8AA51	ARGB_IGNH4 	Ignicoccus hospitalis                   	453591	0	1	Cytoplasm (By similarity).
A6UT97	ARGB_META3 	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (By similarity).
Q8THJ9	ARGB_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
A7I4D4	ARGB_METB6 	Methanoregula boonei                    	456442	0	1	Cytoplasm (By similarity).
Q46D93	ARGB_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
Q12ZP8	ARGB_METBU 	Methanococcoides burtonii               	259564	0	1	Cytoplasm (By similarity).
Q2FTZ8	ARGB_METHJ 	Methanospirillum hungatei JF-1          	323259	0	1	Cytoplasm (By similarity).
Q60382	ARGB_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TUX2	ARGB_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
A2STZ6	ARGB_METLZ 	Methanocorpusculum labreanum            	410358	0	1	Cytoplasm (By similarity).
A4G0C7	ARGB_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A9A8M9	ARGB_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (By similarity).
A6VI50	ARGB_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q8PXJ8	ARGB_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
A3CRT9	ARGB_METMJ 	Methanoculleus marisnigri               	368407	0	1	Cytoplasm (By similarity).
Q6M154	ARGB_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
B8GFN4	ARGB_METPE 	Methanosphaerula palustris              	521011	0	1	Cytoplasm (By similarity).
A5UK52	ARGB_METS3 	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (By similarity).
A4YD40	ARGB_METS5 	Metallosphaera sedula                   	399549	0	1	Cytoplasm (By similarity).
Q2NGV4	ARGB_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O26285	ARGB_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A0B9X4	ARGB_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
A6UR56	ARGB_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
A9A1K7	ARGB_NITMS 	Nitrosopumilus maritimus                	436308	0	1	Cytoplasm (By similarity).
Q9V1I5	ARGB_PYRAB 	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (By similarity).
Q8ZU99	ARGB_PYRAE 	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (By similarity).
A4WJI0	ARGB_PYRAR 	Pyrobaculum arsenaticum                 	340102	0	1	Cytoplasm (By similarity).
A3MT40	ARGB_PYRCJ 	Pyrobaculum calidifontis                	410359	0	1	Cytoplasm (By similarity).
Q8U0B5	ARGB_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (By similarity).
O59398	ARGB_PYRHO 	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (By similarity).
A1RR74	ARGB_PYRIL 	Pyrobaculum islandicum                  	384616	0	1	Cytoplasm (By similarity).
B1YB53	ARGB_PYRNV 	Pyrobaculum neutrophilum                	444157	0	1	Cytoplasm (By similarity).
Q4JAQ2	ARGB_SULAC 	Sulfolobus acidocaldarius               	330779	0	1	Cytoplasm (By similarity).
C3MZY8	ARGB_SULIA 	Sulfolobus islandicus                   	427318	0	1	Cytoplasm (By similarity).
C4KJ29	ARGB_SULIK 	Sulfolobus islandicus                   	426118	0	1	Cytoplasm (By similarity).
C3MJ49	ARGB_SULIL 	Sulfolobus islandicus                   	429572	0	1	Cytoplasm (By similarity).
C3MYU1	ARGB_SULIM 	Sulfolobus islandicus                   	427317	0	1	Cytoplasm (By similarity).
C3NF41	ARGB_SULIN 	Sulfolobus islandicus                   	419942	0	1	Cytoplasm (By similarity).
C3N871	ARGB_SULIY 	Sulfolobus islandicus                   	439386	0	1	Cytoplasm (By similarity).
Q980X0	ARGB_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (By similarity).
Q976J6	ARGB_SULTO 	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (By similarity).
Q0W0P5	ARGB_UNCMA 	Uncultured methanogenic archaeon RC-I.  	351160	0	1	Cytoplasm (By similarity).
Q9YBY8	ARGC_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
O28208	ARGC_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
A8M8Q9	ARGC_CALMQ 	Caldivirga maquilingensis               	397948	0	1	Cytoplasm (By similarity).
A0RWW0	ARGC_CENSY 	Cenarchaeum symbiosum                   	414004	0	1	Cytoplasm (By similarity).
Q5UZ50	ARGC_HALMA 	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
Q18E32	ARGC_HALWD 	Haloquadratum walsbyi                   	362976	0	1	Cytoplasm (By similarity).
A8AAF8	ARGC_IGNH4 	Ignicoccus hospitalis                   	453591	0	1	Cytoplasm (By similarity).
A6UWL8	ARGC_META3 	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (By similarity).
Q8TK53	ARGC_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
A7I4D1	ARGC_METB6 	Methanoregula boonei                    	456442	0	1	Cytoplasm (By similarity).
Q46B07	ARGC_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
Q58496	ARGC_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TWF8	ARGC_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
A2STZ4	ARGC_METLZ 	Methanocorpusculum labreanum            	410358	0	1	Cytoplasm (By similarity).
A4G075	ARGC_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A9A8I0	ARGC_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (By similarity).
A6VIA5	ARGC_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q8PZL6	ARGC_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
A3CRT6	ARGC_METMJ 	Methanoculleus marisnigri               	368407	0	1	Cytoplasm (By similarity).
Q6M102	ARGC_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
B8GFN1	ARGC_METPE 	Methanosphaerula palustris              	521011	0	1	Cytoplasm (By similarity).
A5ULI7	ARGC_METS3 	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (By similarity).
Q2NGV2	ARGC_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O26934	ARGC_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A0B6F6	ARGC_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
A6UR99	ARGC_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
Q3IMD8	ARGC_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
A9A1K6	ARGC_NITMS 	Nitrosopumilus maritimus                	436308	0	1	Cytoplasm (By similarity).
Q6KYZ5	ARGC_PICTO 	Picrophilus torridus                    	263820	0	1	Cytoplasm (By similarity).
Q9V1I6	ARGC_PYRAB 	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (By similarity).
Q8ZUA0	ARGC_PYRAE 	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (By similarity).
A3MT41	ARGC_PYRCJ 	Pyrobaculum calidifontis                	410359	0	1	Cytoplasm (By similarity).
Q8U0B6	ARGC_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (By similarity).
O59397	ARGC_PYRHO 	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (By similarity).
A1RR73	ARGC_PYRIL 	Pyrobaculum islandicum                  	384616	0	1	Cytoplasm (By similarity).
B1YB54	ARGC_PYRNV 	Pyrobaculum neutrophilum                	444157	0	1	Cytoplasm (By similarity).
Q4JAQ3	ARGC_SULAC 	Sulfolobus acidocaldarius               	330779	0	1	Cytoplasm (By similarity).
Q980X1	ARGC_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (By similarity).
Q976J5	ARGC_SULTO 	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (By similarity).
Q5JFW1	ARGC_THEKO 	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (By similarity).
Q0W932	ARGC_UNCMA 	Uncultured methanogenic archaeon RC-I.  	351160	0	1	Cytoplasm (By similarity).
Q9YBY6	ARGD_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
O30156	ARGD_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
Q8TUE8	ARGD_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
Q58131	ARGD_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TUZ5	ARGD_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
Q8PX16	ARGD_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
O27392	ARGD_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
Q9V1I4	ARGD_PYRAB 	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (By similarity).
Q8ZV07	ARGD_PYRAE 	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (By similarity).
Q8U0B4	ARGD_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (By similarity).
O59401	ARGD_PYRHO 	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (By similarity).
Q7SI94	ARGD_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (By similarity).
Q976K0	ARGD_SULTO 	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (By similarity).
Q5JFW3	ARGD_THEKO 	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (By similarity).
O29118	ARGJ_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
Q8TK55	ARGJ_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
Q57645	ARGJ_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (Probable).
Q8TX15	ARGJ_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
A4FXT1	ARGJ_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A9AB46	ARGJ_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (By similarity).
A6VFI9	ARGJ_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q8PZL8	ARGJ_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
P62065	ARGJ_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
O26284	ARGJ_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A6UN66	ARGJ_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
O29379	ARLY_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
Q5UZ47	ARLY_HALMA 	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
B0R7V5	ARLY_HALS3 	Halobacterium salinarum                 	478009	0	1	Cytoplasm (By similarity).
Q9HMQ3	ARLY_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
A6UW73	ARLY_META3 	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (By similarity).
Q8TR65	ARLY_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
Q46GJ5	ARLY_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
Q12X66	ARLY_METBU 	Methanococcoides burtonii               	259564	0	1	Cytoplasm (By similarity).
Q2FR16	ARLY_METHJ 	Methanospirillum hungatei JF-1          	323259	0	1	Cytoplasm (By similarity).
Q58201	ARLY_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TXN9	ARLY_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
A2SQZ4	ARLY_METLZ 	Methanocorpusculum labreanum            	410358	0	1	Cytoplasm (By similarity).
A4G0I4	ARLY_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A9A8S8	ARLY_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (By similarity).
A6VI01	ARLY_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q8PUM6	ARLY_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
A3CTT5	ARLY_METMJ 	Methanoculleus marisnigri               	368407	0	1	Cytoplasm (By similarity).
O74026	ARLY_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
B8GH19	ARLY_METPE 	Methanosphaerula palustris              	521011	0	1	Cytoplasm (By similarity).
Q2NGN7	ARLY_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O26369	ARLY_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A0B6F9	ARLY_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
A6URI4	ARLY_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
Q3IME1	ARLY_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
A9A331	ARLY_NITMS 	Nitrosopumilus maritimus                	436308	0	1	Cytoplasm (By similarity).
Q8ZU95	ARLY_PYRAE 	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (By similarity).
A4WJI4	ARLY_PYRAR 	Pyrobaculum arsenaticum                 	340102	0	1	Cytoplasm (By similarity).
A3MT36	ARLY_PYRCJ 	Pyrobaculum calidifontis                	410359	0	1	Cytoplasm (By similarity).
Q8U483	ARLY_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (By similarity).
A1RR78	ARLY_PYRIL 	Pyrobaculum islandicum                  	384616	0	1	Cytoplasm (By similarity).
B1YB49	ARLY_PYRNV 	Pyrobaculum neutrophilum                	444157	0	1	Cytoplasm (By similarity).
Q4J8F0	ARLY_SULAC 	Sulfolobus acidocaldarius               	330779	0	1	Cytoplasm (By similarity).
Q9UX32	ARLY_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (By similarity).
Q970U9	ARLY_SULTO 	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (By similarity).
Q0W7A4	ARLY_UNCMA 	Uncultured methanogenic archaeon RC-I.  	351160	0	1	Cytoplasm (By similarity).
Q9YEK9	AROA_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
O28775	AROA_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
A8MB38	AROA_CALMQ 	Caldivirga maquilingensis               	397948	0	1	Cytoplasm (By similarity).
